number,name,status
9,Using Distutils to Build Python,Final
5,Import on Case-Insensitive Platforms,Final
8,Changing the Division Operator,Final
7,Unifying Long Integers and Integers,Final
2,Function Attributes,Final
8,Adding a Built-In Set Object Type,Final
0,Warning Framework,Final
7,Statically Nested Scopes,Final
8,Reworking the Coercion Model,Final
3,Change the Meaning of,Final
1,Import As,Final
3,Augmented Assignments,Final
7,Display Hook for Interactive Use,Final
5,Weak References,Final
7,Rich Comparisons,Final
4,Extended Print Statement,Final
2,List Comprehensions,Final
1,Lockstep Iteration,Final
7,Type Manipulation,Draft
0,Python Unicode Integration,Final
3,Freezing the HTML simple repository API,Draft
1,Support for unpacking TypedDicts in Callable type hints,Draft
2,Dedented Multiline String (d-string),Draft
2,Virtual environment discovery,Draft
8,Supporting ‘yield from’ in asynchronous generators,Draft
0,Add timestamps to exceptions and tracebacks,Draft
7,Wheel Variants: Beyond Platform Tags,Draft
5,Wheel Variants: Package Format,Draft
2,Display Syntax for the Empty Set,Draft
9,JSON Package Metadata,Draft
8,Adding the Core of the Pyodide Foreign Function Interface to Python,Draft
3,The Pretty Print Protocol,Draft
9,Stable ABI for the Future,Draft
7,Index support for Trusted Publishing,Draft
4,An external dependency registry and name mapping mechanism,Draft
7,Shared Object Proxies,Draft
7,How to Re-invent the Wheel,Draft
9,Preventing task-cancellation bugs by limiting yield in async generators,Draft
5,New methods for easier handling of,Draft
6,Explicit Priority Choices Among Multiple Indexes,Draft
6,Precision and modulo-precision flag format specifiers for integer fields,Draft
1,Make,Draft
5,Implicit namespace policy for PyPI,Draft
0,ABI features as environment markers,Draft
1,Default Extras for Python Software Packages,Draft
7,Annotating Read-Only Attributes,Draft
4,Inline typed dictionaries,Draft
6,Type checking Annotated metadata,Draft
8,A Unified TLS API for Python,Draft
2,Implicit namespaces for package repositories,Draft
4,JIT Compilation,Draft
1,Syntax for late-bound function argument defaults,Draft
5,Specifying external dependencies in pyproject.toml,Draft
0,Cross-compiling Python packages,Draft
8,Subscriptable functions,Draft
1,PyBI: a standard format for distributing Python Binaries,Draft
0,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
8,Syntactic Macros,Draft
7,Minor API improvements for binary sequences,Draft
0,Recording the provenance of installed packages,Draft
3,Precise Semantics for Pattern Matching,Draft
4,Upload 2.0 API for Python Package Indexes,Draft
8,Including static values in dynamic metadata,Accepted
0,Explicit lazy imports,Accepted
3,Adding a frozenmap type to collections,Draft
8,Secure PyPI downloads with signed repository metadata,Accepted
9,Package Startup Configuration Files,Accepted
0,PySlot: Unified slot system for the C API,Accepted
5,2024 Term Steering Council election,Final
7,Isolating modules in the standard library,Accepted
8,Serve Distribution Metadata in the Simple Repository API,Accepted
1,JSON-based Simple API for Python Package Indexes,Accepted
8,Marking Python base environments as “externally managed”,Accepted
2,2021 Term Steering Council election,Final
6,2025 Term Steering Council election,Final
7,2026 Term Steering Council election,Final
4,2023 Term Steering Council election,Final
3,2022 Term Steering Council election,Final
6,Python 3.16 Release Schedule,Active
1,2020 Term Steering Council election,Final
3,Python Web Server Gateway Interface v1.0.1,Final
0,January 2019 Steering Council election,Final
6,The Steering Council Model,Accepted
6,WASI Support,Active
2,Open Source Governance Survey,Final
0,Python Language Governance Proposal Overview,Final
5,Python 3.14 Release Schedule,Active
1,Reserved,Active
0,Python 3.15 Release Schedule,Active
2,REPL-acing the default REPL,Final
9,Python 3.13 Release Schedule,Active
6,Emscripten Support,Active
3,An Evaluation of Python’s Public C API,Final
3,Python 3.12 Release Schedule,Active
6,Structural Pattern Matching: Tutorial,Final
2,Unicode-related Security Considerations for Python,Active
0,Isolating Extension Modules,Final
9,Specializing Adaptive Interpreter,Final
4,Python 3.11 Release Schedule,Active
5,Structural Pattern Matching: Motivation and Rationale,Final
9,Python 3.10 Release Schedule,Active
7,Reducing CPython’s Feature Delivery Latency,Final
8,GitHub Issues Migration Plan,Final
0,Migrating to Python 3 as the default online documentation,Final
9,Refactoring C functions and methods,Final
